
code,longitude,bathrooms,garage,price_by_sqm,condominio,rent,agent_number,area,agent,district,rooms,iptu,url,suites,latitude,price,title,condominium_fee,address,area_total
,-34.903714,,,,,,,109,,,,R$ 2.900,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-109m2-venda-RS720000-id-86351873/,,-8.125651,720000,"Apartamento na Rua Visconde de Jequitinhonha, 523, Boa Viagem em Recife, por R$ 720.000 - VivaReal",R$ 775,"Rua Visconde de Jequitinhonha, 523 - Boa Viagem, Recife - PE",
,-34.900585,,,,,,,123,,,,R$ 296,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-123m2-venda-RS600000-id-86106825/,,-8.133505,600000,"Apartamento na Avenida Boa Viagem, 5072, Boa Viagem em Recife, por R$ 600.000 - VivaReal",R$ 1.350,"Avenida Boa Viagem, 5072 - Boa Viagem, Recife - PE",
,-34.899638,,,,,,,150,,,,,https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-150m2-venda-RS650000-id-86076886/,,-8.118969,650000,"Apartamento na Rua Dhalia, 304, Boa Viagem em Recife, por R$ 650.000 - VivaReal",R$ 1.000,"Rua Dhalia, 304 - Boa Viagem, Recife - PE",
,-34.898476,,,,,,,80,,,,R$ 188,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-80m2-venda-RS420000-id-84458110/,,-8.112932,420000,"Apartamento na Rua Maria Carolina, 586, Boa Viagem em Recife, por R$ 420.000 - VivaReal",R$ 710,"Rua Maria Carolina, 586 - Boa Viagem, Recife - PE",
,-34.898514,,,,,,,110,,,,R$ 2.651,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-110m2-venda-RS650000-id-87104290/,,-8.115201,650000,"Apartamento na Rua Mamanguape, 518, Boa Viagem em Recife, por R$ 650.000 - VivaReal",R$ 750,"Rua Mamanguape, 518 - Boa Viagem, Recife - PE",
,-34.905784,,,,,,,,,,,,https://www.vivareal.com.br/imoveis-lancamento/boa-viagem-prince-9267/,,-8.141343,,"Lançamento Pernambuco Construtora Boa Viagem Prince - Apartamento - Boa Viagem, Recife - VivaReal",,,
,-34.897669,,,,,,,184,,,,R$ 400,https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-184m2-venda-RS495000-id-85419036/,,-8.124743,495000,"Apartamento na Rua dos Navegantes, 860, Boa Viagem em Recife, por R$ 495.000 - VivaReal",R$ 1.250,"Rua dos Navegantes, 860 - Boa Viagem, Recife - PE",
,-34.896921,,,,,,,,,,,,https://www.vivareal.com.br/imoveis-lancamento/boulevard-prince-9268/,,-8.109005,,"Lançamento Pernambuco Construtora Boulevard Prince - Apartamento - Boa Viagem, Recife - VivaReal",,,
,-34.90435,,,,,,,120,,,,R$ 258,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-120m2-venda-RS570000-id-80751020/,,-8.126603,570000,"Apartamento na Rua Dom José Lopes, 626, Boa Viagem em Recife, por R$ 570.000 - VivaReal",R$ 730,"Rua Dom José Lopes, 626 - Boa Viagem, Recife - PE",
,-34.887836,,,,,,,108,,,,R$ 3.500,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-108m2-venda-RS1050000-id-87676956/,,-8.10364,1050000,"Apartamento na Avenida Conselheiro Aguiar, 1527, Boa Viagem em Recife, por R$ 1.050.000 - VivaReal",R$ 660,"Avenida Conselheiro Aguiar, 1527 - Boa Viagem, Recife - PE",
,-34.897301,,,,,,,,,,,,https://www.vivareal.com.br/imoveis-lancamento/promenade-prince-9272/,,-8.108419,,"Lançamento Pernambuco Construtora Promenade Prince - Apartamento - Boa Viagem, Recife - VivaReal",,,
,-34.883559,,,,,,,280,,,,R$ 3.000,https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-280m2-venda-RS3500000-id-81267686/,,-8.097387,3500000,"Apartamento na Avenida Boa Viagem, 634, Boa Viagem em Recife, por R$ 3.500.000 - VivaReal",R$ 1.500,"Avenida Boa Viagem, 634 - Boa Viagem, Recife - PE",
,-34.890809,,,,,,,105,,,,R$ 230,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-105m2-venda-RS700000-id-81032525/,,-8.10632,700000,"Apartamento na Rua José Aderval Chaves, 48, Boa Viagem em Recife, por R$ 700.000 - VivaReal",R$ 600,"Rua José Aderval Chaves, 48 - Boa Viagem, Recife - PE",
,-34.899644,,,,,,,110,,,,R$ 1.400,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-110m2-venda-RS760000-id-83220320/,,-8.119065,760000,"Apartamento na Rua Dhalia, Boa Viagem em Recife, por R$ 760.000 - VivaReal",R$ 680,"Rua Dhalia - Boa Viagem, Recife - PE",
,-34.897039,,,,,,,90,,,,R$ 175,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-90m2-venda-RS300000-id-85209058/,,-8.110229,300000,"Apartamento na Rua Ministro Nelsom Hungria, 159, Boa Viagem em Recife, por R$ 300.000 - VivaReal",R$ 830,"Rua Ministro Nelsom Hungria, 159 - Boa Viagem, Recife - PE",
,-34.899793,,,,,,,160,,,,R$ 4.000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-160m2-venda-RS649000-id-87497334/,,-8.114758,649000,"Apartamento na Rua Mamanguape, 665, Boa Viagem em Recife, por R$ 649.000 - VivaReal",R$ 790,"Rua Mamanguape, 665 - Boa Viagem, Recife - PE",
,-34.89806229999999,,,,,,,,,,,,https://www.vivareal.com.br/imoveis-lancamento/beach-class-conventions-e-flats-6688/,,-8.1144223,,"Lançamento Moura Dubeux Beach Class Conventions e Flats - Apartamento - Boa Viagem, Recife - VivaReal",,,
,-34.898536,,,,,,,91,,,,R$ 2.496,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-91m2-venda-RS690000-id-83733153/,,-8.121509,690000,"Apartamento na Rua Bruno Veloso, 284, Boa Viagem em Recife, por R$ 690.000 - VivaReal",R$ 850,"Rua Bruno Veloso, 284 - Boa Viagem, Recife - PE",
,-34.911206,,,,,,,77,,,,R$ 700,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-77m2-venda-RS240000-id-83822812/,,-8.137665,240000,"Apartamento na Rua Cruzeiro do Forte, 258, Boa Viagem em Recife, por R$ 240.000 - VivaReal",R$ 300,"Rua Cruzeiro do Forte, 258 - Boa Viagem, Recife - PE",
,-34.909256,,,,,,,98,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-98m2-venda-RS430000-id-83694112/,,-8.139534,430000,"Apartamento na Rua Almirante Batista Leão, 53, Boa Viagem em Recife, por R$ 430.000 - VivaReal",R$ 720,"Rua Almirante Batista Leão, 53 - Boa Viagem, Recife - PE",
,-34.894506,,,,,,,130,,,,R$ 4.000,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-130m2-venda-RS1200000-id-81235418/,,-8.118561,1200000,"Apartamento na Avenida Boa Viagem, 3296, Boa Viagem em Recife, por R$ 1.200.000 - VivaReal",R$ 1.350,"Avenida Boa Viagem, 3296 - Boa Viagem, Recife - PE",
,-34.901612,,,,,,,66,,,,R$ 1.396,https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-66m2-venda-RS270000-id-84726785/,,-8.122963,270000,"Apartamento na Avenida Fernando Simões Barbosa, 602, Boa Viagem em Recife, por R$ 270.000 - VivaReal",R$ 590,"Avenida Fernando Simões Barbosa, 602 - Boa Viagem, Recife - PE",
,-34.892764,,,,,,,123,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-123m2-venda-RS589000-id-86140678/,,-8.11115,589000,"Apartamento na Avenida Domingos Ferreira, Boa Viagem em Recife, por R$ 589.000 - VivaReal",R$ 635,"Avenida Domingos Ferreira - Boa Viagem, Recife - PE",
,-34.892639,,,,,,,,,,,,https://www.vivareal.com.br/imoveis-lancamento/morada-das-palmeiras-9207/,,-8.109538,,"Lançamento Aveloz Morada das Palmeiras - Apartamento - Boa Viagem, Recife - VivaReal",,,
,-34.891066,,,,,,,214,,,,,https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-214m2-venda-RS1800000-id-85697063/,,-8.111614,1800000,"Apartamento na Rua dos Navegantes, 2475, Boa Viagem em Recife, por R$ 1.800.000 - VivaReal",,"Rua dos Navegantes, 2475 - Boa Viagem, Recife - PE",
,,,,,,,,94,,,,R$ 2.250,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-94m2-venda-RS485000-id-75126838/,,,485000,"Apartamento 94 m² em Boa Viagem em Recife, por R$ 485.000 - VivaReal",R$ 500,"Boa Viagem, Recife - PE",
,-34.904632,,,,,,,70,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-70m2-venda-RS450000-id-85972317/,,-8.138637,450000,"Apartamento na Rua Visconde de Jequitinhonha, 1294, Boa Viagem em Recife, por R$ 450.000 - VivaReal",R$ 700,"Rua Visconde de Jequitinhonha, 1294 - Boa Viagem, Recife - PE",
,-34.897569,,,,,,,150,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-150m2-venda-RS650000-id-85548106/,,-8.119749,650000,"Apartamento na Rua dos Navegantes, 74, Boa Viagem em Recife, por R$ 650.000 - VivaReal",R$ 900,"Rua dos Navegantes, 74 - Boa Viagem, Recife - PE",
,-34.896076,,,,,,,183,,,,R$ 4.100,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-183m2-venda-RS1000000-id-85513770/,,-8.122141,1000000,"Apartamento na Avenida Boa Viagem, Boa Viagem em Recife, por R$ 1.000.000 - VivaReal",R$ 2.300,"Avenida Boa Viagem - Boa Viagem, Recife - PE",
,-34.901634,,,,,,,126,,,,R$ 1.790,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-126m2-venda-RS550000-id-87027467/,,-8.121334,550000,"Apartamento na Rua Arnaud Holanda, 54, Boa Viagem em Recife, por R$ 550.000 - VivaReal",R$ 976,"Rua Arnaud Holanda, 54 - Boa Viagem, Recife - PE",
