hour,views
000000,9
000001,0
000002,1
000003,2
000004,4
000005,0
000006,6
000007,10
000008,8
000009,14
000010,13
000011,65
000012,10
000013,76
000014,22
000015,39
000016,79
000017,39
000018,4
000019,52
000020,34
000021,4
000022,50
000023,37
000024,51
000025,3
000026,11
000027,1
000028,18
000029,1
000030,20
000031,18
000032,47
000033,106
000034,97
000035,33
000036,33
000037,91
000038,91
000039,135
000040,112
000041,75
000042,62
000043,29
000044,47
000045,71
000046,34
000047,63
000048,23
000049,30
000050,12
000051,0
000052,2
000053,0
000054,14
000055,24
000056,47
000057,55
000058,40
000059,28
000060,90
000061,134
000062,86
000063,45
000064,48
000065,54
000066,23
000067,83
000068,71
000069,18
000070,18
000071,37
000072,18
000073,10
000074,0
000075,0
000076,0
000077,5
000078,11
000079,8
000080,51
000081,60
000082,118
000083,83
000084,76
000085,84
000086,90
000087,109
000088,62
000089,62
000090,63
000091,119
000092,49
000093,42
000094,50
000095,43
000096,44
000097,4
000098,10
000099,9
000100,6
000101,6
000102,5
000103,34
000104,17
000105,67
000106,59
000107,53
000108,73
000109,108
000110,99
000111,62
000112,48
000113,63
000114,64
000115,63
000116,52
000117,38
000118,24
000119,54
000120,7
000121,7
000122,6
000123,1
000124,4
000125,7
000126,0
000127,23
000128,43
000129,48
000130,30
000131,50
000132,45
000133,127
000134,122
000135,40
000136,45
000137,98
000138,47
000139,39
000140,20
000141,84
000142,26
000143,9
000144,3
000145,1
000146,3
000147,0
000148,0
000149,2
000150,1
000151,15
000152,3
000153,42
000154,39
000155,21
000156,38
000157,20
000158,73
000159,50
000160,39
000161,44
000162,66
000163,90
000164,12
000165,53
000166,43
000167,28
000168,18
000169,8
000170,0
000171,13
000172,2
000173,0
000174,18
000175,56
000176,28
000177,67
000178,18
000179,42
000180,66
000181,27
000182,102
000183,27
000184,28
000185,92
000186,39
000187,56
000188,127
000189,26
000190,43
000191,11
000192,12
000193,6
000194,27
000195,0
000196,0
000197,10
000198,14
000199,28
000200,51
000201,30
000202,55
000203,52
000204,63
000205,131
000206,83
000207,54
000208,181
000209,59
000210,79
000211,53
000212,53
000213,45
000214,93
000215,27
000216,16
000217,11
000218,13
000219,5
000220,23
000221,11
000222,9
000223,42
000224,79
000225,115
000226,86
000227,43
000228,66
000229,69
000230,58
000231,54
000232,14
000233,41
000234,59
000235,44
000236,66
000237,100
000238,79
000239,31
000240,18
000241,4
000242,8
000243,0
