Posicao,Quartos,Vagas,DistIpanema,DistPraia,DistFavela,RendaMedia,RendaMovel,RendaMovelRua,Vu2009,Mes,Idade,Tipologia,AreaConstruida,VAL_UNIT,X,Y,lat,lng
1,3.0,0.01,1144,311,146,969501,1028834,999168,1750,509,37.0,1,95,4379,685365.07,7457802.68,-22.977728354411518,-43.191740929005874
0,2.0,0.01,2456,502,254,1472861,1137759,1305310,2300,484,30.0,1,71,6479,685941.55,7459001.32,-22.966841573342304,-43.18626392197812
0,2.0,0.01,2448,772,229,1803724,1512475,1658100,2350,920,44.0,1,58,12414,685627.39,7459080.52,-22.966161554578232,-43.18933668799299
0,2.0,0.01,1615,428,310,1124331,1370600,1247466,2200,930,43.0,1,88,11250,685438.2001,7458268.28,-22.973516324699336,-43.19108378118803
0,2.0,1.0,2358,586,287,1165764,1177933,1171849,2150,918,42.0,1,68,13382,685764.3840000001,7458954.512999998,-22.967283977775864,-43.187985757423476
0,2.0,1.0,2358,586,287,1165764,1177933,1171849,2150,825,42.0,1,68,11618,685764.3840000001,7458954.512999998,-22.967283977775864,-43.187985757423476
0,3.0,0.01,2537,758,115,994427,1037602,1016015,1850,864,43.0,1,103,6505,685723.36,7459150.25,-22.965521258473434,-43.188409320421464
0,0.01,0.01,555,332,306,1140573,1064998,1102786,2450,554,40.0,2,39,6410,685263.33,7457221.99,-22.982982711125945,-43.192663275184714
0,1.0,0.01,555,332,306,1140573,1064998,1102786,2450,830,43.0,1,22,14545,685263.33,7457221.99,-22.982982711125945,-43.192663275184714
0,1.0,0.01,555,332,306,1140573,1064998,1102786,2450,940,43.0,1,27,11111,685263.33,7457221.99,-22.982982711125945,-43.192663275184714
1,1.0,0.01,555,332,306,1140573,1064998,1102786,2450,918,43.0,1,20,19500,685263.33,7457221.99,-22.982982711125945,-43.192663275184714
1,0.01,0.01,555,332,306,1140573,1064998,1102786,2450,918,43.0,1,22,13636,685263.33,7457221.99,-22.982982711125945,-43.192663275184714
1,0.01,0.01,555,332,306,1140573,1064998,1102786,2450,864,43.0,1,20,20500,685263.33,7457221.99,-22.982982711125945,-43.192663275184714
1,3.0,1.0,2498,716,148,1281444,1281444,1281444,1900,830,43.0,1,74,10135,685737.49,7459106.52,-22.96591451724929,-43.18826628365735
1,2.0,0.01,2498,716,148,1281444,1281444,1281444,1900,830,43.0,1,62,10081,685737.49,7459106.52,-22.96591451724929,-43.18826628365735
1,2.0,0.01,2498,716,148,1281444,1281444,1281444,1900,920,43.0,1,59,10508,685737.49,7459106.52,-22.96591451724929,-43.18826628365735
0,2.0,1.0,2498,716,148,1281444,1281444,1281444,1900,360,40.0,1,74,4189,685737.49,7459106.52,-22.96591451724929,-43.18826628365735
0,2.0,0.01,2835,330,629,1124331,727350,925841,2100,385,40.0,1,64,5313,686482.95,7459173.83,-22.965223413216965,-43.1810058188048
1,2.0,2.0,2835,330,629,1124331,727350,925841,2100,918,43.0,1,64,11875,686482.95,7459173.83,-22.965223413216965,-43.1810058188048
0,3.0,0.01,1987,494,510,1369604,1453409,1411507,2600,920,44.0,1,82,10610,685585.76,7458617.75,-22.97034452431055,-43.18968695052231
1,0.01,0.01,2057,307,621,1395924,1176888,1286406,2350,792,43.0,2,15,16667,685829.63,7458617.41,-22.970320374304915,-43.18730897546404
1,0.01,0.01,2057,307,621,1395924,1176888,1286406,2350,801,43.0,1,15,22667,685829.63,7458617.41,-22.970320374304915,-43.18730897546404
0,1.0,0.01,2057,307,621,1395924,1176888,1286406,2350,573,41.0,1,15,14000,685829.63,7458617.41,-22.970320374304915,-43.18730897546404
1,1.0,0.01,2057,307,621,1395924,1176888,1286406,2350,425,41.0,2,15,9333,685829.63,7458617.41,-22.970320374304915,-43.18730897546404
1,0.01,0.01,2057,307,621,1395924,1176888,1286406,2350,801,43.0,2,15,18000,685829.63,7458617.41,-22.970320374304915,-43.18730897546404
1,1.0,0.01,2057,307,621,1395924,1176888,1286406,2350,405,41.0,1,20,4500,685829.63,7458617.41,-22.970320374304915,-43.18730897546404
1,3.0,0.01,3207,145,467,1083455,1041944,1062700,2000,509,53.0,1,90,3889,687024.56,7459269.14,-22.964302091708113,-43.175736451274226
0,2.0,0.01,474,212,492,1308645,1445903,1377274,2100,554,38.0,1,58,7759,685416.77,7457059.02,-22.98443705435811,-43.19114736865016
